title,artist,genre,duration,year,album
"Shake It Off","Taylor Swift",,,"2014","1989"
"Uptown Funk","Bruno Mars"
"Someone Like You","Adele"
"Bohemian Rhapsody","Queen","Rock","5:55","1975","A Night at the Opera"
"Hotel California","Eagles"
"Imagine","John Lennon"
"Stairway to Heaven","Led Zeppelin"
"Billie Jean","Michael Jackson",,,"1982","Thriller"
"Sweet Child O' Mine","Guns N' Roses"
"Don't Stop Me Now","Queen"
"Purple Rain","Prince"
"Born to Run","Bruce Springsteen"
"Respect","Aretha Franklin"
"What's Going On","Marvin Gaye"
"Like a Rolling Stone","Bob Dylan"
"Thunderstruck","AC/DC"
"Smells Like Teen Spirit","Nirvana"
"Wonderwall","Oasis"
"Mr. Brightside","The Killers"
"Bohemian Rhapsody","Queen"
